1,1,0.5,0.5
1,0,0.47889,0.5059
1,0,0.49176,0.51442
1,1,0.48608,0.51091
0,0,0.49384,0.48068
1,0,0.51257,0.52184
1,1,0.52698,0.51896
0,1,0.5413,0.52359
0,0,0.54154,0.52667
1,0,0.54462,0.56642
0,0,0.56407,0.58238
0,1,0.56018,0.61555
0,1,0.56182,0.63126
1,1,0.55927,0.61919
1,1,0.54059,0.6343
0,0,0.58768,0.67388
0,0,0.57901,0.65565
1,1,0.58908,0.6672
1,1,0.5873,0.70182
1,0,0.56642,0.74168
1,1,0.57451,0.74368
1,1,0.57599,0.71951
0,1,0.59743,0.71288
1,1,0.64377,0.72652
1,1,0.64635,0.75143
0,0,0.64307,0.70347
0,1,0.70282,0.68425
0,1,0.71221,0.68618
0,1,0.7094,0.69607
1,0,0.76168,0.65035
0,0,0.74182,0.65932
0,0,0.78167,0.65364
0,1,0.78613,0.65752
1,0,0.74801,0.64908
0,1,0.72634,0.63134
0,0,0.73023,0.63313
1,1,0.74851,0.62857
1,0,0.75437,0.61989
1,1,0.72981,0.59819
1,0,0.75042,0.59085
0,1,0.75786,0.59571
0,1,0.74067,0.57795
1,0,0.7518,0.59227
0,0,0.7143,0.55912
0,1,0.71362,0.58452
0,1,0.72309,0.58051
1,0,0.72841,0.57783
1,1,0.688,0.58954
0,0,0.68706,0.5899
1,0,0.69469,0.6
0,0,0.69799,0.56892
0,1,0.68913,0.54393
0,0,0.71302,0.54657
1,1,0.71969,0.55819
0,0,0.72246,0.52261
1,1,0.66957,0.55194
1,1,0.60808,0.56349
1,1,0.61803,0.55587
1,1,0.63702,0.51322
1,1,0.66098,0.5183
1,1,0.64984,0.53047
0,1,0.64933,0.53862
1,0,0.65779,0.4914
1,1,0.6684,0.49985
0,0,0.66544,0.50267
1,1,0.70415,0.43551
1,1,0.68614,0.4124
1,1,0.67198,0.43324
1,1,0.68801,0.40826
0,1,0.65997,0.40192
0,0,0.6523,0.44311
0,1,0.61845,0.42376
0,1,0.65728,0.41561
0,0,0.63159,0.43132
1,0,0.65312,0.42627
0,1,0.64987,0.46522
1,0,0.65709,0.44478
0,1,0.67912,0.41649
1,1,0.66358,0.39289
0,1,0.63978,0.34311
0,0,0.66974,0.34956
0,1,0.62942,0.37729
0,0,0.6292,0.36837
0,1,0.63463,0.368
0,0,0.62162,0.37251
0,1,0.60429,0.36652
0,1,0.62761,0.3494
1,1,0.61859,0.31918
1,1,0.6347,0.28962
0,0,0.59224,0.2624
0,0,0.60588,0.23014
0,1,0.59146,0.28353
1,0,0.63179,0.30416
0,1,0.67214,0.33456
1,1,0.69814,0.31956
1,1,0.66101,0.31345
0,1,0.66988,0.30454
1,0,0.69232,0.35041
0,1,0.71692,0.35672
1,0,0.68415,0.34386
1,0,0.65452,0.32668
0,1,0.65113,0.35124
0,1,0.64595,0.32148
0,0,0.63809,0.30034
1,0,0.67538,0.33595
0,1,0.66602,0.31735
0,1,0.66887,0.32795
0,1,0.69443,0.31517
0,1,0.7581,0.2797
1,0,0.76813,0.27075
1,0,0.74261,0.25309
1,1,0.74358,0.28144
0,1,0.74672,0.28721
0,1,0.79021,0.30462
0,1,0.8074,0.32126
1,1,0.82986,0.35223
0,1,0.82326,0.32348
1,0,0.8378,0.28285
0,1,0.8773,0.33041
0,1,0.85385,0.35344
0,1,0.85835,0.33501
0,1,0.88005,0.33171
0,1,0.87377,0.36457
0,1,0.90115,0.36278
0,0,0.85914,0.37501
0,1,0.84034,0.35472
0,0,0.8358,0.32157
0,1,0.87065,0.32486
1,0,0.89972,0.34251
1,0,0.90777,0.32367
0,1,0.89157,0.36456
1,0,0.92341,0.38139
0,1,0.93561,0.3554
0,1,0.92374,0.33273
1,0,0.91119,0.31608
0,1,0.89027,0.30836
1,1,0.90279,0.29265
0,1,0.86425,0.3344
0,1,0.87279,0.3276
0,1,0.89661,0.33971
1,0,0.85306,0.343
0,1,0.87551,0.35969
0,1,0.86758,0.34596
1,0,0.86347,0.33139
0,1,0.89317,0.30801
0,0,0.88364,0.27769
1,0,0.89328,0.31076
0,1,0.88262,0.30171
1,0,0.90519,0.31139
0,1,0.94859,0.32934
0,1,0.94409,0.30412
1,0,0.95431,0.25345
1,0,0.95636,0.27181
0,1,0.90482,0.22965
1,1,0.87359,0.27517
0,1,0.8693,0.29858
0,1,0.85404,0.29662
1,0,0.85011,0.31084
0,1,0.8423,0.28413
0,1,0.83899,0.2837
1,0,0.84903,0.29482
0,1,0.82932,0.23196
0,1,0.84117,0.22911
1,0,0.85467,0.24624
1,0,0.89075,0.23672
0,0,0.85396,0.21649
0,1,0.87807,0.22713
0,1,0.89113,0.25139
0,1,0.89508,0.27326
0,1,0.9289,0.3124
0,1,0.94846,0.31471
1,1,0.98596,0.34246
1,1,1,0.33915
0,1,1,0.36649
1,0,0.99732,0.39649
0,1,1,0.41198
1,1,0.96798,0.40093
0,1,0.97301,0.4174
1,1,0.97268,0.42865
1,0,0.98475,0.40749
0,1,0.99204,0.43082
1,0,0.99102,0.42548
1,0,0.95649,0.41978
1,0,0.98305,0.42641
1,1,0.96893,0.42787
1,1,0.99916,0.44444
0,1,1,0.45581
1,0,0.98563,0.46135
1,0,1,0.46465
0,1,1,0.46325
1,1,1,0.46174
1,1,0.97024,0.44625
0,1,0.98854,0.38537
0,1,1,0.39404
1,1,0.95556,0.40832
0,1,1,0.4109
1,1,0.99623,0.43417
0,1,0.9871,0.42246
1,0,0.99173,0.42892
0,1,0.98037,0.40655
1,1,1,0.39948
1,1,1,0.42492
0,1,1,0.3934
0,1,0.99517,0.41298
0,1,0.97603,0.38031
0,1,0.97432,0.39987
1,0,0.9821,0.40945
1,1,1,0.42825
0,1,1,0.43929
1,0,0.97138,0.44847
0,1,0.99758,0.47166
0,1,0.99158,0.47989
1,0,0.95247,0.46569
0,1,0.96765,0.46643
1,0,0.96451,0.49044
0,1,1,0.47838
1,0,1,0.52117
0,1,0.9679,0.49774
1,0,0.97763,0.5018
1,1,0.96533,0.51893
1,0,0.95763,0.51396
1,1,0.93707,0.46468
0,1,0.92668,0.46636
1,1,0.94152,0.48741
1,0,0.95703,0.49488
0,1,0.95073,0.54625
1,1,0.99718,0.61284
0,1,0.94796,0.64446
0,1,0.91503,0.63034
0,0,0.88857,0.63539
1,1,0.92551,0.62439
0,1,0.87935,0.59368
0,1,0.87294,0.57499
0,1,0.8759,0.59209
0,1,0.88176,0.58328
0,1,0.88929,0.55483
1,1,0.88878,0.58075
0,1,0.88046,0.61039
1,1,0.84681,0.63588
0,1,0.86106,0.63701
0,1,0.82415,0.61081
1,0,0.81767,0.59603
0,0,0.79253,0.62995
1,0,0.78605,0.65606
0,1,0.77727,0.64058
