2,2,2,3,1
0,0,2,3,1
2,4,2,3,1
2,0,3,2,0
0,2,2,3,1
0,0,3,2,0
0,4,2,3,0
2,2,3,2,0
4,2,3,2,0
8,2,3,2,0
8,0,3,2,1
4,0,3,2,1
0,4,2,3,0
0,8,2,3,0
2,6,2,3,0
2,6,2,3,0
2,4,2,3,1
4,2,3,2,0
6,2,3,2,0
0,8,2,3,0
2,0,3,2,0
0,2,2,3,1
0,6,2,3,0
0,0,3,2,0
0,0,2,3,1
8,0,3,2,1
4,0,3,2,1
8,2,3,2,0
6,0,3,2,1
6,0,3,2,1
2,2,3,2,0
6,2,3,2,0
0,6,2,3,0
2,8,2,3,0
2,8,2,3,0
2,2,2,3,1
2,2,2,3,0
2,8,2,3,1
2,0,3,2,0
8,2,3,2,1
4,0,3,2,1
6,2,3,2,0
2,2,2,3,1
8,0,3,2,0
0,2,2,3,0
4,0,3,2,0
0,8,2,3,0
0,4,2,3,0
2,0,3,2,1
2,2,3,2,0
8,0,3,2,1
2,6,2,3,0
6,2,3,2,1
6,0,3,2,1
4,2,3,2,0
8,2,3,2,0
2,6,2,3,1
0,0,3,2,0
6,0,3,2,0
2,4,2,3,0
0,0,3,2,1
2,8,2,3,0
0,0,2,3,1
0,4,2,3,1
0,8,2,3,1
4,2,3,2,1
0,2,2,3,1
0,6,2,3,1
0,6,2,3,0
0,0,2,3,0
2,4,2,3,1
2,2,3,2,1
8,0,3,2,1
6,0,3,2,1
2,8,2,3,0
0,0,3,2,0
2,8,2,3,0
2,4,2,3,1
2,4,2,3,1
4,0,3,2,1
0,0,3,2,0
6,2,3,2,0
8,2,3,2,1
4,0,3,2,0
0,8,2,3,0
2,0,3,2,0
0,2,2,3,1
2,2,3,2,0
2,2,2,3,1
2,2,3,2,1
0,0,2,3,1
0,0,2,3,1
0,2,2,3,0
2,2,2,3,1
6,0,3,2,1
4,2,3,2,0
0,6,2,3,0
0,8,2,3,0
0,6,2,3,0
0,4,2,3,0
0,4,2,3,0
8,2,3,2,1
2,6,2,3,0
2,0,3,2,0
8,0,3,2,1
2,6,2,3,1
6,2,3,2,0
4,2,3,2,0
0,0,2,3,1
0,2,2,3,0
2,4,2,3,1
0,4,2,3,0
8,2,3,2,0
0,6,2,3,1
0,4,2,3,1
0,8,2,3,0
2,8,2,3,1
4,0,3,2,0
2,8,2,3,0
4,2,3,2,1
8,2,3,2,1
2,2,2,3,1
0,6,2,3,0
2,2,2,3,0
2,6,2,3,0
0,0,3,2,1
4,2,3,2,0
2,0,3,2,0
0,0,3,2,0
8,0,3,2,1
6,2,3,2,0
0,8,2,3,1
6,0,3,2,0
2,2,3,2,0
4,0,3,2,1
6,2,3,2,1
2,0,3,2,1
0,2,2,3,1
2,2,3,2,1
2,6,2,3,1
6,0,3,2,1
8,0,3,2,0
2,4,2,3,0
0,0,2,3,0
4,0,3,2,1
0,6,2,3,0
2,6,2,3,0
4,2,3,2,0
0,2,2,3,1
0,6,2,3,0
0,4,2,3,1
2,4,2,3,1
0,0,3,2,0
6,0,3,2,1
0,0,3,2,0
0,8,2,3,0
8,0,3,2,1
0,0,2,3,1
0,0,2,3,1
2,2,3,2,0
2,2,3,2,0
4,2,3,2,1
8,0,3,2,1
2,4,2,3,1
8,2,3,2,1
2,8,2,3,0
2,6,2,3,1
0,8,2,3,0
2,2,2,3,1
0,4,2,3,0
0,2,2,3,1
6,2,3,2,1
2,8,2,3,0
2,0,3,2,0
8,2,3,2,1
2,2,2,3,1
6,2,3,2,0
4,0,3,2,1
6,0,3,2,1
2,0,3,2,1
4,0,3,2,0
8,0,3,2,0
0,6,2,3,1
0,4,2,3,0
6,0,3,2,0
4,0,3,2,1
6,2,3,2,0
2,4,2,3,1
4,2,3,2,0
6,0,3,2,1
6,2,3,2,1
2,0,3,2,1
8,2,3,2,1
4,2,3,2,1
2,2,3,2,0
0,0,3,2,1
2,6,2,3,0
2,6,2,3,1
2,2,2,3,1
2,8,2,3,1
2,2,3,2,1
0,4,2,3,1
8,2,3,2,0
0,2,2,3,1
8,0,3,2,1
0,8,2,3,1
2,0,3,2,0
0,0,2,3,1
0,2,2,3,0
0,0,3,2,0
2,8,2,3,0
0,8,2,3,0
2,2,2,3,0
2,4,2,3,0
0,6,2,3,0
0,0,2,3,0
2,2,3,2,0
8,0,3,2,1
2,0,3,2,0
0,4,2,3,0
2,4,2,3,1
0,0,2,3,1
4,0,3,2,1
0,0,2,3,1
2,4,2,3,1
0,6,2,3,0
2,6,2,3,1
0,8,2,3,0
0,0,3,2,0
4,2,3,2,0
0,2,2,3,1
2,8,2,3,0
0,8,2,3,0
2,8,2,3,0
2,2,3,2,0
6,0,3,2,1
8,2,3,2,1
4,0,3,2,1
6,2,3,2,1
2,0,3,2,0
0,2,2,3,0
2,2,2,3,1
0,4,2,3,0
6,2,3,2,1
2,2,2,3,1
8,0,3,2,1
8,2,3,2,0
0,6,2,3,0
2,6,2,3,0
4,2,3,2,1
6,0,3,2,1
0,0,3,2,0
2,0,3,2,0
4,2,3,2,1
0,0,2,3,1
2,6,2,3,0
2,2,2,3,0
2,2,3,2,0
2,6,2,3,1
2,2,2,3,1
4,2,3,2,0
6,0,3,2,0
2,0,3,2,1
0,0,3,2,1
8,0,3,2,1
6,2,3,2,0
6,2,3,2,1
0,2,2,3,0
2,4,2,3,0
0,6,2,3,1
0,4,2,3,1
2,4,2,3,1
4,0,3,2,0
2,2,3,2,1
0,8,2,3,1
8,2,3,2,0
2,8,2,3,1
2,8,2,3,0
8,0,3,2,0
0,0,2,3,0
0,2,2,3,1
0,8,2,3,0
8,2,3,2,1
0,0,3,2,0
0,4,2,3,0
0,6,2,3,0
4,0,3,2,1
6,0,3,2,1
8,0,3,2,1
0,8,2,3,0
8,0,3,2,1
8,2,3,2,1
2,2,3,2,0
4,0,3,2,1
0,0,2,3,1
2,4,2,3,1
2,6,2,3,0
6,0,3,2,1
2,4,2,3,1
0,6,2,3,0
4,2,3,2,0
0,2,2,3,1
2,0,3,2,1
0,0,3,2,0
0,0,2,3,1
0,6,2,3,0
4,0,3,2,1
2,2,2,3,1
6,2,3,2,0
0,2,2,3,1
2,8,2,3,0
2,8,2,3,0
6,0,3,2,1
2,0,3,2,1
2,2,2,3,1
4,2,3,2,0
6,2,3,2,1
2,2,3,2,1
2,6,2,3,1
8,2,3,2,1
0,4,2,3,0
0,8,2,3,0
0,4,2,3,0
0,0,3,2,0
6,0,3,2,1
2,6,2,3,1
2,8,2,3,0
0,0,2,3,0
6,2,3,2,0
2,2,2,3,0
8,2,3,2,0
2,4,2,3,1
